post,splitted_text,splitted_tags
"Enabling soundex/metaphone for non-English characters <p>I've been studying soundex, metaphone and other string search techniques the past few days, and in my understanding both algorithms work well in handling non-English words transliterated to English.</p>

<p>However the requirement that I have would be for such search to work in the original, untransliterated languages, accomodating alphabets such as German, Norwegian, and even Cyrilic alphabets.</p>

<p>Are there any search algorithms capable of handling these alphabets completely? Or am I better off using third party full-text-search libraries such as Lucene? Consequently, the question then becomes 'does Lucene handle non-English alphabets?'</p>
","['soundex', 'metaphone', 'soundex', 'metaphone', 'search', 'work', 'requirement', 'work', 'party', 'text', 'search', 'question']","['algorithm', 'search', 'lucene', 'soundex', 'metaphone']"
"How to remove/uninstall item templates in Visual Studio 2010 <p>I have an item template that I did wrong and want to delete. I deleted the zip file from the output location and ran devenv /installvstemplates and devenv /setup and when I opened VS and tried to add a new item it was still there. stranger still, I can still use it and create copies of the file, so it must exist somewhere. Is there somewhere that visual studio stores the files after being installed that I need to delete? I also cant change the template, it stays the same no matter what I do.</p>

<p>Edit: If it makes a difference I am using XNA GS 4.0</p>
","['item', 'studio', 'item', 'file', 'output', 'location', 'devenv', 'setup', 'item', 'stranger', 'studio', 'need', 'delete', 'change', 'template', 'edit', 'difference']","['c#', 'visual-studio-2010', 'template', 'xna', 'uninstallation']"
"Using javascript code in Jade views - if(variable) shows undefined instead of passing <p>So this is a recurring issue I have and haven't found another example on SO so here goes:</p>

<p>When rendering Jade templates I get <code>'variableName' undefined</code> even when using <code>-if(variableName)</code> in the template.</p>

<p>Example (I'm using this as a partial for 'info' flash messages): </p>

<pre><code>-if(info)
  - if(info.length){
   ul
   -info.forEach(function(info){
     li= info
  -})
-}
</code></pre>

<p>This returns 'info' is not defined instead of not rendering anything when there isn't a flash/info message.  Does anyone know what I'm doing wrong?  </p>

<p>I'm aware of the <code>typeof(variable) != 'undefined</code> option as mentioned.  If I wanted to do something like <code>-if (typeof(req.session.user) != 'undefined')</code> I would have to do 3 nested `if (typeof(req) != 'undefined'.  Is this my only option?</p>
","['javascript', 'code', 'jade', 'issue', 'example', 'jade', 'variablename', 'example', 'info', 'flash', 'length', 'info', 'foreach', 'function', 'info', 'info', 'anything', 'message', 'anyone', 'typeof', 'variable', 'option', 'something', 'session', 'user', 'typeof', 'option']","['template', 'node.js', 'partial', 'express', 'pug']"
"LLVM and the future of optimization <p>I realize that LLVM has a long way to go, but theoretically, can the optimizations that are in GCC/ICC/etc. for individual languages be applied to LLVM byte code?  If so, does this mean that any language that compiles to LLVM byte code has the potential to be equally as fast?  Or are language specific optimizations (before the LLVM bytecode stage) going to always play a large part in optimizing any specific program.</p>

<p>I don't know much about compilers or optimizations (only enough to be dangerous), so I apologize if this question isn't well defined.</p>
","['optimization', 'llvm', 'byte', 'code', 'language', 'code', 'potential', 'language', 'stage', 'part', 'program', 'question']","['optimization', 'gcc', 'compiler-construction', 'llvm', 'compiler-optimization']"
"Calling a MATLAB function from C# <p>I developed a MATLAB function, and I'm looking for a way to call that function from another C# application and pass some parameters to it and get the results in the C# program.</p>

<p>I heard that I can use <a href=""http://en.wikipedia.org/wiki/Dynamic_Data_Exchange"">Dynamic Data Exchange</a> (DDE) or COM objects, but have can I do it?</p>
","['matlab', 'function', 'matlab', 'function', 'function', 'application', 'pas', 'program', 'exchange']","['c#', 'matlab', 'com', 'matlab-deployment', 'dde']"
"Force base method call <p>Is there a construct in Java or C# that forces inheriting classes to call the base implementation?  You can call super() or base() but is it possible to have it throw a compile-time error if it isn't called?  That would be very convenient..</p>

<p>--edit--</p>

<p>I am mainly curious about overriding methods.</p>
","['force', 'base', 'method', 'call', 'construct', 'java', 'base', 'implementation', 'call', 'base', 'throw', 'compile', 'time', 'error', 'edit']","['c#', 'java', 'inheritance', 'polymorphism', 'super']"
"Android: Flip Animation using XML for animation in android <p>For searching on net i found that there is ViewFlipper class that gives the Flip view animation between two view/ But for that should be in the same Activity. I also know that the Flip animation is not suported for the activity change. as right now android support only 2d animation during activity change.</p>

<p>I want is the make the same effect for changing the activity.</p>

<p>So is there any similar like xml animation that gives effect as like FLip View so i provide that to my activity change and get the Such Flip effect for the Activity change.</p>

<p>Please provide me some xml for animation that gives the Flip type animation tht works for activity change.</p>

<p>Thanks.</p>
","['flip', 'animation', 'animation', 'android', 'class', 'view', 'animation', 'view', 'activity', 'animation', 'activity', 'change', 'support', 'animation', 'activity', 'change', 'make', 'effect', 'activity', 'animation', 'effect', 'flip', 'view', 'activity', 'change', 'flip', 'effect', 'activity', 'change', 'please', 'animation', 'type', 'animation', 'activity', 'change']","['android', 'animation', 'android-layout', 'viewflipper', 'flip']"
"What does ""S3 methods"" mean in R? <p>Since I am fairly new to R, I do not know what the S3 methods and objects are. I found that there are S3 and S4 object systems, and some recommend to use S3 over S4 if possible (See Google's R Style Guide at <a href=""http://google-styleguide.googlecode.com/svn/trunk/google-r-style.html"" rel=""noreferrer"">http://google-styleguide.googlecode.com/svn/trunk/google-r-style.html</a>)*. However, I do not know the exact definition of S3 methods/objects.</p>

<p>Update: As of 2019, Google's R Style Guide hyperlink is now <a href=""https://google.github.io/styleguide/Rguide.html"" rel=""noreferrer"">here</a>.</p>
","['google', 'style', 'guide', 'http', 'google', 'styleguide', 'googlecode', 'trunk', 'google', 'style', 'html', 'definition', 'google', 'style', 'guide', 'hyperlink']","['oop', 'r-faq', 'r-s3', 'r-s4']"
"GUI for Standard ML? <p>I started learning Standard ML recently out of curiosity. So what I know is that is has an efficient compiler (MLton) which allows us to freely use abstractions without worrying about performance.</p>

<p>It would be perfect if I could do some GUI programming with Standard ML, too. Is there anything like Gtk, Qt, or WxWidgets binding for Standard ML?</p>

<p>Thank you very much.</p>
","['standard', 'standard', 'curiosity', 'compiler', 'mlton', 'performance', 'anything', 'thank']","['user-interface', 'binding', 'sml', 'ml', 'graphical-programming']"
"What's the fastest way to represent and multiply sparse boolean matrices? <p>So, I'm using boolean matrices whose dimension is usually a couple dozen to a couple hundred, they are usually quite sparse (just some 2-4 non-zeros in most rows and columns) and my runtime is heavily dominated by their multiplication.</p>

<p>What datastructure suits best for speeding up multiplication under these circumstances?</p>

<p>Currently I'm storing each matrix in a contiguous bitset (array of 64-bit longs) row-wise, and multiplicating them with basically the standard algorithm, just sped up for sparsity with the fast operation of locating the next set bit in a word, and with vectorization by bitmask operations.</p>

<p>Should I perhaps use some sparse representation indeed?</p>
","['represent', 'multiply', 'boolean', 'dimension', 'dozen', 'couple', 'zero', 'runtime', 'multiplication', 'datastructure', 'multiplication', 'bitset', 'array', 'algorithm', 'sparsity', 'fast', 'operation', 'word', 'vectorization', 'bitmask', 'representation']","['algorithm', 'performance', 'data-structures', 'matrix', 'bit-manipulation']"
"Given a filesystem path, is there a shorter way to extract the filename without its extension? <p>I program in WPF C#.  I have e.g. the following path:</p>

<pre><code>C:\Program Files\hello.txt
</code></pre>

<p>and I want to extract <strong><code>hello</code></strong> from it. </p>

<p>The path is a <code>string</code> retrieved from a database.  Currently I'm using the following code to split the path by <code>'\'</code> and then split again by <code>'.'</code>:</p>

<pre class=""lang-cs prettyprint-override""><code>string path = ""C:\\Program Files\\hello.txt"";
string[] pathArr = path.Split('\\');
string[] fileArr = pathArr.Last().Split('.');
string fileName = fileArr.Last().ToString();
</code></pre>

<p>It works, but I believe there should be shorter and smarter solution to that. Any idea?</p>
","['path', 'shorter', 'extract', 'filename', 'extension', 'program', 'path', 'program', 'path', 'database', 'code', 'split', 'program', 'path', 'split', 'patharr', 'split', 'filename', 'filearr', 'tostring', 'solution', 'idea']","['c#', 'path', 'filename', 'file-extension', 'path-manipulation']"
"importing private frameworks in Xcode <p>I am a novice iPhone programmer I want to use some of the functions in the private framework</p>

<p><a href=""https://github.com/kennytm/iphone-private-frameworks"" rel=""noreferrer"">https://github.com/kennytm/iphone-private-frameworks</a></p>

<p>The function that I want to use is in 'SpringBoard'</p>

<p>So I downloaded 'SpringBoard' folder in that github repo.
And created a subdirectory called ""Headers"" in 'SpringBoard'
 and put all the header files in that folder.</p>

<p>And renamed 'SpringBoard' to 'SpringBoard.framework' and copied it to /Developer/Platforms/(iPhoneOS_and_iPhoneSimulator)/sdks/System/library/Frameworks folder (I can't recall full path correctly sorry)</p>

<p>And I got back to the xcode and right click on Frameworks -> Add existing framework -> other -> I selected 'SpringBoard.framework' folder and clicked Add.</p>

<p>And I built the project and got an error</p>

<p>'ld : framework SpringBoard not found'</p>

<p>My imported framework does appear on the Xcode and I can see header files in it.
but when I built it I got that error.</p>

<p>What am I doing wrong?</p>
","['programmer', 'framework', 'http', 'github', 'springboard', 'folder', 'github', 'repo', 'subdirectory', 'header', 'framework', 'developer', 'iphonesimulator', 'sdks', 'system', 'path', 'right', 'click', 'framework', 'framework', 'folder', 'project', 'error', 'framework', 'springboard', 'framework', 'header', 'error']","['iphone', 'xcode', 'framework', 'sdk', 'private']"
"Get the stdout/stderr of a forked process in a subprocess <p>I have a C program which calls <code>fork()</code></p>

<p>And I have a python script which executes the C program with</p>

<pre><code>child = subprocess.Popen(command, shell=True, stderr=subprocess.PIPE,stdout=subprocess.PIPE, bufsize=0)
</code></pre>

<p>Now I can read from <em>stdout</em> and <em>stderr</em> with <code>child.stderr.read(1)</code> or <code>child.communicate()</code>, ... But my problem is now, how can I get <em>only</em> the output from the <em>forked</em> process. Is this even possible?  Can I get the pid from both, the original C program and the <em>fork</em>?</p>

<p>kind regards,
thank you very much :)</p>

<p>Fabian</p>
","['stdout', 'stderr', 'program', 'fork', 'python', 'script', 'program', 'child', 'subprocess', 'command', 'shell', 'stderr', 'subprocess', 'pipe', 'stdout', 'subprocess', 'pipe', 'bufsize', 'stdout', 'stderr', 'child', 'stderr', 'child', 'communicate', 'problem', 'output', 'process', 'program', 'fork', 'kind', 'fabian']","['python', 'fork', 'subprocess', 'stdout', 'stderr']"
"PDO in Codeigniter - Protect vs SQL Injection <p>True PHP Security experts, is PDO the way to go or would I be ok with Codeigniter's Active Record class?</p>

<p>I have read <a href=""http://codeigniter.com/forums/viewthread/179618/"" rel=""noreferrer"">http://codeigniter.com/forums/viewthread/179618/</a> and am not 100% convinced.<br>
I usually lean on experts such as Chris Shiflett and OWASP for security tips.  <a href=""http://shiflett.org/blog/2006/jul/the-owasp-php-top-5"" rel=""noreferrer"">http://shiflett.org/blog/2006/jul/the-owasp-php-top-5</a></p>

<p>Been using a homebrewed PDO DB Class in place of the Codeigniter Database files.  Everytime I upload it is a relatively small pain to copy over.  The main reason I use PDO is to protect from SQL Injection vs using Active Record.  </p>

<p>EDIT:  <strong>NOT TO BE A SHILL</strong> but I wrote a post after the fact on how to integrate 
<a href=""http://christopherickes.com/web-app-development/using-pdo-in-codeigniter/"" rel=""noreferrer"">PDO in Codeigniter</a>.  If anyone has feedback, I would be happy to hear.</p>
","['codeigniter', 'injection', 'security', 'record', 'class', 'http', 'codeigniter', 'security', 'blog', 'class', 'place', 'codeigniter', 'database', 'pain', 'copy', 'reason', 'protect', 'injection', 'record', 'edit', 'post', 'fact', 'codeigniter', 'anyone', 'feedback', 'hear']","['php', 'codeigniter', 'pdo', 'sql-injection', 'prepared-statement']"
"Unwanted white background visible around UITableView when rotating from landscape to portrait <p>I have a UITableView in an iPad application that I am working on. When I start in a portrait view and rotate to landscape, the view rotates and the rotation looks good.</p>

<p>However, when I rotate from landscape to portrait, there is a white edge that is displayed during the rotation. It appears as though the UITableView is resized to fit the portrait display at the beginning of the rotation. (When rotating TO landscape, resizing first means that no white will be seen.)</p>

<p>Through a few screenshots that I have been able to grab, it appears that the animation order is as follows:</p>

<ol>
<li>Resize UITableView</li>
<li>Perform rotation animation</li>
<li>Resize UIToolbar</li>
</ol>

<p>While researching this, I found some people suggesting to change the UIWindow's background color to match your view (blue in this case), but my real UITableView does not have a solid color background, so this method is not sufficient.</p>

<p>I would like to be able to control when the rotation of individual views occur so that I can prevent this white border from being visible during rotation. Or if there is a better approach, please share that too!</p>

<p>[Edit] Here's a rough screenshot showing the white border during rotation:</p>

<p><img src=""https://i.sstatic.net/x8hbF.png"" alt=""enter image description here""></p>
","['background', 'landscape', 'portrait', 'uitableview', 'application', 'portrait', 'view', 'landscape', 'view', 'rotation', 'landscape', 'portrait', 'edge', 'rotation', 'portrait', 'display', 'rotation', 'landscape', 'animation', 'order', 'rotation', 'animation', 'change', 'uiwindow', 'background', 'color', 'match', 'view', 'case', 'uitableview', 'color', 'background', 'method', 'sufficient', 'control', 'rotation', 'border', 'rotation', 'approach', 'please', 'share', 'border', 'rotation']","['iphone', 'ipad', 'animation', 'uiview', 'rotation']"
"How do I load the proper localized file? <p>I've got a plist which I localized. How do I load the plist properly?</p>

<p>Right now, I'm using this code:</p>

<pre><code>NSArray *numbersArray = [[NSArray alloc] initWithContentsOfFile:
      [[NSBundle mainBundle] pathForResource:@""Numbers"" ofType:@""plist""]];
</code></pre>

<p>What do I need to change my code to in order to load the localized plist?</p>
","['load', 'plist', 'plist', 'code', 'alloc', 'initwithcontentsoffile', 'pathforresource', 'change', 'code', 'order', 'load', 'plist']","['iphone', 'objective-c', 'cocoa', 'io', 'localization']"
"Unable to trust a self signed certificate on iphone <p>I am currently trying to connect to a server with a self signed certificate.  I am using NSURLConnection to connect to the server.  How can I make sure that I only trust the right server and cancel all other connections?  I am using the following code  </p>

<pre><code>- (void)connection:(NSURLConnection *)connection didReceiveAuthenticationChallenge:(NSURLAuthenticationChallenge *)challenge {  

    SecTrustResultType results;
    SecTrustRef trust = [[challenge protectionSpace] serverTrust];

    SecTrustEvaluate(trust, &amp;results);

    if (results == kSecTrustResultProceed || results == kSecTrustResultConfirm) {
        [challenge.sender useCredential:[NSURLCredential credentialForTrust:challenge.protectionSpace.serverTrust] forAuthenticationChallenge:challenge];
    } else {
        [challenge.sender cancelAuthenticationChallenge:challenge];
    }

}
</code></pre>

<p>Currently <code>SecTrustEvaluate</code> always returns with results equal to <code>kSecTrustResultRecoverableTrustFailure</code>.  I have installed a configuration profile with the certificate on the phone using the iphone configuration utility and it is marked as verified but it did not change the results.</p>

<p>Can anyone help me get a trust result of either <code>kSecTrustResultProceed</code> or <code>kSecTrustResultConfirm</code> for a self signed certificate?</p>
","['trust', 'self', 'certificate', 'iphone', 'connect', 'server', 'self', 'certificate', 'nsurlconnection', 'connect', 'trust', 'right', 'server', 'code', 'connection', 'nsurlconnection', 'connection', 'didreceiveauthenticationchallenge', 'nsurlauthenticationchallenge', 'challenge', 'sectrustresulttype', 'challenge', 'protectionspace', 'servertrust', 'sectrustevaluate', 'trust', 'challenge', 'sender', 'credentialfortrust', 'challenge', 'protectionspace', 'servertrust', 'forauthenticationchallenge', 'challenge', 'challenge', 'sender', 'cancelauthenticationchallenge', 'challenge', 'ksectrustresultrecoverabletrustfailure', 'configuration', 'profile', 'certificate', 'phone', 'iphone', 'configuration', 'utility', 'change', 'anyone', 'help', 'result', 'ksectrustresultproceed', 'ksectrustresultconfirm', 'self', 'certificate']","['iphone', 'objective-c', 'cocoa-touch', 'ssl', 'http']"
"Focus on TextBox when UserControl change Visibility <p>I have a usercontrol loaded inside a canvas; this usercontrol on default have visibility collapsed. When a specific textbox of my window is focused the usercontrol become visible.</p>

<p>When usercontrol become visible I want set focus to another textbox inside usercontrol.</p>

<p>I try to do that:</p>

<pre><code>private void UserControl_IsVisibleChanged(object sender, DependencyPropertyChangedEventArgs e)
{
        if (this.Visibility == Visibility.Visible)
        {                
            FocusManager.SetFocusedElement(this, TextBlockInput);
        }
}
</code></pre>

<p>It seems work but there is a problem: the textbox seems focused but the cursor into textbox don't blink and I can't type chars for input.</p>

<p>I would that after focus the textbox is ready for input. How can I do?</p>
","['focus', 'textbox', 'change', 'visibility', 'usercontrol', 'usercontrol', 'default', 'visibility', 'textbox', 'window', 'become', 'focus', 'textbox', 'void', 'usercontrol', 'sender', 'dependencypropertychangedeventargs', 'visibility', 'visibility', 'focusmanager', 'setfocusedelement', 'textblockinput', 'work', 'problem', 'textbox', 'cursor', 'textbox', 'blink', 'type', 'input']","['wpf', 'user-controls', 'textbox', 'input', 'focus']"
